actual,proposed
404.6841735839844,291.3664245605469
408.0946960449219,312.4370422363281
418.3261413574219,331.74163818359375
435.3785095214844,350.7383728027344
438.7890319824219,367.15093994140625
442.1995544433594,381.40997314453125
452.4309997558594,395.03826904296875
459.2519226074219,407.55902099609375
469.4833679199219,418.98126220703125
472.8938903808594,418.98126220703125
469.4833679199219,418.98126220703125
466.0728454589844,418.98126220703125
0.0,52.00641632080078
0.0,53.14338684082031
0.0,52.92703628540039
0.0,51.582916259765625
0.0,49.2989616394043
0.0,46.231842041015625
0.0,42.512054443359375
0.0,37.66647720336914
0.0,31.88274574279785
0.0,25.31721305847168
0.0,18.100183486938477
0.0,10.340239524841309
0.0,2.7097909450531006
