actual,proposed
0.034712374210357666,0.0
0.042439479380846024,0.05505909025669098
0.04572610557079315,0.05792444944381714
0.040277235209941864,0.05816195532679558
0.030574148520827293,0.05356999859213829
0.029749134555459023,0.0
0.04203343018889427,0.0
0.04980923980474472,0.05315124988555908
0.053143613040447235,0.05683246999979019
0.05210097134113312,0.05775105580687523
0.05546088144183159,0.056205399334430695
0.05880187451839447,0.05739840492606163
0.06212584301829338,0.058559030294418335
0.0523567870259285,0.05969354882836342
0.05147133022546768,0.053374748677015305
0.05498243495821953,0.05274273827672005
0.04975228011608124,0.05469736456871033
0.044619932770729065,0.051539067178964615
0.04394059255719185,0.0
0.03893176466226578,0.0
0.03401174023747444,0.0
0.024817639961838722,0.0
0.015765562653541565,0.0
0.011207487434148788,0.0
0.006718310993164778,0.0
